time,edge_id,edge_name,flow,speed,density,queue
60,A0B0,Nguyễn Trãi (Bắc→vào),9.0,10.327,30.0,5.0
60,bottom1B0,Nguyễn Trãi (Nam→vào),1.0,33.796,3.333,0.0
60,right0B0,Trường Chinh (Đông→vào),4.0,8.075,13.333,3.0
60,B1B0,Tây Sơn (Tây→vào),1.0,40.528,3.333,0.0
120,A0B0,Nguyễn Trãi (Bắc→vào),2.0,39.448,6.667,0.0
120,bottom1B0,Nguyễn Trãi (Nam→vào),7.0,2.434,23.333,6.0
120,right0B0,Trường Chinh (Đông→vào),0.0,39.996,0.0,0.0
120,B1B0,Tây Sơn (Tây→vào),5.0,8.207,16.667,4.0
180,A0B0,Nguyễn Trãi (Bắc→vào),8.0,6.801,26.667,6.0
180,bottom1B0,Nguyễn Trãi (Nam→vào),1.0,39.534,3.333,0.0
180,right0B0,Trường Chinh (Đông→vào),4.0,14.372,13.333,3.0
180,B1B0,Tây Sơn (Tây→vào),2.0,34.314,6.667,0.0
240,A0B0,Nguyễn Trãi (Bắc→vào),2.0,38.78,6.667,0.0
240,bottom1B0,Nguyễn Trãi (Nam→vào),8.0,3.375,26.667,6.0
240,right0B0,Trường Chinh (Đông→vào),1.0,39.364,3.333,0.0
240,B1B0,Tây Sơn (Tây→vào),6.0,13.319,20.0,4.0
300,A0B0,Nguyễn Trãi (Bắc→vào),8.0,9.413,26.667,6.0
300,bottom1B0,Nguyễn Trãi (Nam→vào),1.0,33.825,3.333,0.0
300,right0B0,Trường Chinh (Đông→vào),5.0,8.324,16.667,4.0
300,B1B0,Tây Sơn (Tây→vào),2.0,41.383,6.667,0.0
360,A0B0,Nguyễn Trãi (Bắc→vào),2.0,36.344,6.667,0.0
360,bottom1B0,Nguyễn Trãi (Nam→vào),7.0,1.723,23.333,6.0
360,right0B0,Trường Chinh (Đông→vào),0.0,39.996,0.0,0.0
360,B1B0,Tây Sơn (Tây→vào),5.0,8.173,16.667,4.0
420,A0B0,Nguyễn Trãi (Bắc→vào),10.0,10.596,33.333,6.0
420,bottom1B0,Nguyễn Trãi (Nam→vào),1.0,38.969,3.333,0.0
420,right0B0,Trường Chinh (Đông→vào),4.0,0.018,13.333,4.0
420,B1B0,Tây Sơn (Tây→vào),1.0,26.522,3.333,0.0
480,A0B0,Nguyễn Trãi (Bắc→vào),3.0,33.89,10.0,0.0
480,bottom1B0,Nguyễn Trãi (Nam→vào),8.0,2.907,26.667,7.0
480,right0B0,Trường Chinh (Đông→vào),1.0,24.75,3.333,0.0
480,B1B0,Tây Sơn (Tây→vào),5.0,10.816,16.667,2.0
540,A0B0,Nguyễn Trãi (Bắc→vào),9.0,5.891,30.0,7.0
540,bottom1B0,Nguyễn Trãi (Nam→vào),2.0,28.682,6.667,0.0
